################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.1918302310666979E-01 a         1     0     1     1     1
  1.5189246376030676E+00 a         2     0     1     1     2
  5.5823682447552370E-01 a         3     0     1     1     3
  8.4772445133060437E-01 a         4     0     1     1     4
  2.2660442687593579E-01 a         5     0     1     1     5
  9.6501734480175627E-01 a         6     0     1     1     6
  1.2501310961873247E-01 a         7     0     1     1     7
 -3.8057474325409851E-01 a         8     0     1     1     8
  5.9733342404067014E-01 a         9     0     1     1     9
  1.6646149704651608E-01 a        10     0     1     1    10
  5.8298089597105779E-02 a        11     0     1     1    11
 -1.3388016519967840E+00 a        12     0     1     1    12
  7.7198616715630797E-01 a        13     0     1     1    13
 -3.2767899238999632E-01 a        14     0     1     1    14
  8.4083934055814358E-01 a        15     0     1     1    15
  8.7308289565628694E-01 a        16     0     2     1     1
 -7.2239597552102808E-01 a        17     0     2     1     2
 -4.1014267364051615E-01 a        18     0     2     1     3
  1.4193350528624940E-01 a        19     0     2     1     4
  3.9272048392537501E-01 a        20     0     2     1     5
  1.8822612469801189E-01 a        21     0     2     1     6
  6.3938495149570562E-01 a        22     0     2     1     7
  2.1425749083454692E-02 a        23     0     2     1     8
 -6.0956782235129736E-01 a        24     0     2     1     9
  1.7091158222671439E+00 a        25     0     2     1    10
  4.1594984695861864E-01 a        26     0     2     1    11
 -1.9973711031961168E-02 a        27     0     2     1    12
  9.4903046749547637E-01 a        28     0     2     1    13
 -5.5656809689335229E-01 a        29     0     2     1    14
 -1.0357913756388547E-01 a        30     0     2     1    15
 -5.7278291310102147E-01 a        31     0     3     1     1
  2.7263045186041595E-02 a        32     0     3     1     2
  7.2461310898073761E-01 a        33     0     3     1     3
  1.0802648850907810E+00 a        34     0     3     1     4
 -6.6345799366905145E-01 a        35     0     3     1     5
  3.0228921996413011E-01 a        36     0     3     1     6
  6.8588449137304730E-01 a        37     0     3     1     7
 -9.1287468761990187E-01 a        38     0     3     1     8
 -8.1802414481464372E-02 a        39     0     3     1     9
  1.3280176936052859E-01 a        40     0     3     1    10
 -6.8618021052211306E-02 a        41     0     3     1    11
 -7.4151349036597725E-01 a        42     0     3     1    12
  1.8701078827382786E-01 a        43     0     3     1    13
  4.0563711359151594E-01 a        44     0     3     1    14
 -3.0426180399463088E-01 a        45     0     3     1    15
  1.2103222998758527E+00 a        46     0     4     1     1
  2.8883414140811003E-01 a        47     0     4     1     2
 -4.3187662018851408E-01 a        48     0     4     1     3
 -4.2376685411257897E-01 a        49     0     4     1     4
  7.0295998353967060E-01 a        50     0     4     1     5
  1.1611580749514721E+00 a        51     0     4     1     6
  1.0043771190732165E+00 a        52     0     4     1     7
 -6.3170366386725718E-01 a        53     0     4     1     8
 -3.5003906874125718E-01 a        54     0     4     1     9
  3.9779733580927296E-01 a        55     0     4     1    10
 -2.7532470569734301E-02 a        56     0     4     1    11
  1.2338989093724522E+00 a        57     0     4     1    12
 -1.0285380888799966E+00 a        58     0     4     1    13
 -1.3173584470231517E-01 a        59     0     4     1    14
 -9.0725271321762568E-01 a        60     0     4     1    15
  5.0988496662300731E-01 a        61     0     5     1     1
 -3.2100901982744728E-01 a        62     0     5     1     2
 -7.1560329700889005E-02 a        63     0     5     1     3
 -9.2945135131824153E-01 a        64     0     5     1     4
 -3.8731637225129872E-02 a        65     0     5     1     5
  3.0473321309964257E-02 a        66     0     5     1     6
  2.4115237487581159E-01 a        67     0     5     1     7
  8.2220977977284992E-01 a        68     0     5     1     8
 -3.5044321291195768E-01 a        69     0     5     1     9
 -2.7424787996782585E-01 a        70     0     5     1    10
 -4.7552520575723950E-01 a        71     0     5     1    11
 -5.3642957792003898E-01 a        72     0     5     1    12
 -6.2569539343981773E-01 a        73     0     5     1    13
  3.4556953376235988E-01 a        74     0     5     1    14
  7.9663825980876479E-01 a        75     0     5     1    15
  9.5945571912935423E-01 a        76     0     6     1     1
  3.2134176646349438E-01 a        77     0     6     1     2
  3.5288627555427066E-01 a        78     0     6     1     3
  8.2908205868151874E-01 a        79     0     6     1     4
 -3.6328552773923944E-01 a        80     0     6     1     5
  1.0704492754408650E+00 a        81     0     6     1     6
  1.5044692541785489E+00 a        82     0     6     1     7
  5.8982395694634837E-01 a        83     0     6     1     8
 -3.3787972811606420E-01 a        84     0     6     1     9
 -5.4547989698779842E-01 a        85     0     6     1    10
 -9.0860854686378278E-01 a        86     0     6     1    11
 -6.9521534873110180E-01 a        87     0     6     1    12
 -6.1581385957947798E-01 a        88     0     6     1    13
  3.0215619324697529E-01 a        89     0     6     1    14
  3.8920678065226400E-01 a        90     0     6     1    15
 -1.1331379660819753E-01 a        91     0     7     1     1
 -1.2823082649932118E+00 a        92     0     7     1     2
 -1.0569644892266006E+00 a        93     0     7     1     3
 -8.8741422024769612E-01 a        94     0     7     1     4
  1.0502451482692494E+00 a        95     0     7     1     5
 -7.9116739528623614E-01 a        96     0     7     1     6
  1.4318102217276063E-01 a        97     0     7     1     7
 -1.9057306007216743E-01 a        98     0     7     1     8
 -7.6766394711433739E-01 a        99     0     7     1     9
  5.8595783295226722E-01 a       100     0     7     1    10
 -9.6436370362624521E-02 a       101     0     7     1    11
 -1.5314634802676641E-01 a       102     0     7     1    12
 -8.8983677969126684E-01 a       103     0     7     1    13
 -2.0195391642231841E-01 a       104     0     7     1    14
 -2.6985749075375981E-01 a       105     0     7     1    15
  6.0707757813475061E-01 a       106     0     8     1     1
 -2.1398283673305936E-02 a       107     0     8     1     2
  8.7757249637758477E-03 a       108     0     8     1     3
 -2.3712170873246724E-01 a       109     0     8     1     4
  8.2175123003072470E-01 a       110     0     8     1     5
  6.1290404745732019E-01 a       111     0     8     1     6
  1.0098583382603635E-01 a       112     0     8     1     7
 -7.3366116384766955E-01 a       113     0     8     1     8
 -7.8163569870831617E-01 a       114     0     8     1     9
  8.4892454559777394E-03 a       115     0     8     1    10
 -4.9595806405045428E-01 a       116     0     8     1    11
 -1.1482057724409420E+00 a       117     0     8     1    12
 -4.8296476046229109E-02 a       118     0     8     1    13
 -3.3882389608709701E-01 a       119     0     8     1    14
  1.7361534784033938E-01 a       120     0     8     1    15
  6.6651251733136740E-02 a       121     0     9     1     1
 -5.8637614654467662E-01 a       122     0     9     1     2
 -6.6673227187324646E-01 a       123     0     9     1     3
  8.2126227131329710E-01 a       124     0     9     1     4
  4.1757673030869558E-01 a       125     0     9     1     5
 -6.9601744179167913E-01 a       126     0     9     1     6
 -6.1418634260697158E-01 a       127     0     9     1     7
  1.1885969309879285E+00 a       128     0     9     1     8
