################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.0462171768121109E+01   1.7626509645351036E+00   1.2635502980018865E+00
         1          2   0.0000000000000000E+00   4.9942964198905040E+00   1.4073429656040484E+00   1.3864445616299601E+00
         1          3   0.0000000000000000E+00   9.9001354158262220E+00   1.6373753846552257E+00   1.1737858706534205E+00
         1          4   0.0000000000000000E+00   4.6624728619219651E+00   1.3076373667584689E+00   1.2897403105168419E+00
         1          5   0.0000000000000000E+00   8.8945857960513415E+00   1.4232261238262374E+00   1.0198185239879616E+00
         1          6   0.0000000000000000E+00   4.1011290399130216E+00   1.1337762789580976E+00   1.1209869041402505E+00
         1          7   0.0000000000000000E+00   7.4079361747871726E+00   1.1320123055521367E+00   8.1006409224712705E-01
         1          8   0.0000000000000000E+00   3.3113308225291025E+00   8.8801271328605058E-01   8.8210334596580309E-01
         1          9   0.0000000000000000E+00   5.4913020307904468E+00   8.0566637281750220E-01   5.7892314380955212E-01
         1         10   0.0000000000000000E+00   2.3317644711947749E+00   5.9290164535230627E-01   5.9448132755033334E-01
         1         11   0.0000000000000000E+00   3.3740785441158123E+00   5.1295237846307606E-01   3.9097705565643776E-01
         1         12   0.0000000000000000E+00   1.3595466969861632E+00   3.0025015904169750E-01   3.0755623364763357E-01
         1         13   0.0000000000000000E+00   1.7848827351022136E+00   3.1401567775070077E-01   2.8367435828691495E-01
         1         14   0.0000000000000000E+00   7.4685398015421123E-01   9.6078723348245326E-02   1.0398898984776130E-01
         1         15   0.0000000000000000E+00   1.1767610273772917E+00   1.8857893045885657E-01   1.9584359992910436E-01
         1         16   0.0000000000000000E+00   5.5393990306087970E-01   1.5062844213561011E-02   1.9570614785344508E-02
         1         17   0.0000000000000000E+00   5.3912182749800998E+01   1.9561959942185607E+00   3.2902314577734000E+00
         1         18   0.0000000000000000E+00   1.4070358155769254E+01   1.8432451348955285E+00   2.7041836716782806E+00
         1         19   0.0000000000000000E+00   1.2471498364865248E+01   1.8689391745368833E+00   2.1130636270504897E+00
         1         20   0.0000000000000000E+00   4.9594659959336326E+01   1.9208506794320779E+00   3.1474324515849950E+00
         1         21   0.0000000000000000E+00   1.3351545812706105E+01   1.4736841633722282E+00   2.0777068127281950E+00
         1         22   0.0000000000000000E+00   1.0047241982750634E+01   1.4023865745032627E+00   1.5353234244174101E+00
         1         23   0.0000000000000000E+00   1.6657423197847049E+01   5.3550637242612309E-01   9.5182158115201521E-01
         1         24   0.0000000000000000E+00   4.7978546041271510E+00   5.7531371581181889E-01   8.7400331312388890E-01
         1         25   0.0000000000000000E+00   3.6997145027996203E+00   4.9902743361737290E-01   5.8036642969128860E-01
         1         26   0.0000000000000000E+00   1.2418799140882751E+01   4.6768998678197432E-01   7.6037670358647458E-01
         1         27   0.0000000000000000E+00   3.9193160419476496E+00   3.0752149212196533E-01   4.2733681482182262E-01
         1         28   0.0000000000000000E+00   1.4868892097572506E+00   1.3904356900387138E-01   1.5335594037545716E-01
