################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.4591294122367837E-01 a         1     0     1     1     1
 -8.2608342088390041E-01 a         2     0     1     1     2
 -5.0013391505183413E-01 a         3     0     1     1     3
  6.2699266661878783E-01 a         4     0     1     1     4
  4.6843896720037126E-01 a         5     0     1     1     5
  1.7525581959438230E+00 a         6     0     1     1     6
  1.3081307111896601E+00 a         7     0     1     1     7
  1.4641955805299681E-01 a         8     0     1     1     8
  2.8186541750082647E-03 a         9     0     1     1     9
 -2.7489913959756490E-01 a        10     0     1     1    10
  4.4917163831688822E-01 a        11     0     1     1    11
 -1.9315770618168775E+00 a        12     0     1     1    12
 -5.2388214461966864E-01 a        13     0     1     1    13
  2.1822881031213440E-01 a        14     0     1     1    14
  6.0367568285229156E-01 a        15     0     1     1    15
  3.2203547093752176E+00 a        16     0     2     1     1
 -3.5377414061478079E+00 a        17     0     2     1     2
  1.6202146268338298E+00 a        18     0     2     1     3
  3.8203598387345362E-02 a        19     0     2     1     4
  3.1016252044957926E+00 a        20     0     2     1     5
 -2.1105346889925731E+00 a        21     0     2     1     6
 -3.4611970857645864E+00 a        22     0     2     1     7
 -1.0310764211612107E+00 a        23     0     2     1     8
 -1.4771649191582286E+00 a        24     0     2     1     9
 -7.8944699512478933E-01 a        25     0     2     1    10
  3.6392147376296169E+00 a        26     0     2     1    11
 -1.6637241599338224E+00 a        27     0     2     1    12
 -7.9275481456017016E-01 a        28     0     2     1    13
 -1.4808945928647343E+00 a        29     0     2     1    14
  1.3328803338287858E+00 a        30     0     2     1    15
  1.5506851787853833E+00 a        31     0     3     1     1
 -1.1535664353077071E+00 a        32     0     3     1     2
  9.7124107009667851E-02 a        33     0     3     1     3
 -6.0748859724571980E-01 a        34     0     3     1     4
  7.5186266198984386E-01 a        35     0     3     1     5
  1.5910262231625732E-01 a        36     0     3     1     6
 -4.3675260070441924E-01 a        37     0     3     1     7
  5.7564923611104657E-01 a        38     0     3     1     8
  5.6172993656908965E-01 a        39     0     3     1     9
  1.4398246048455757E-01 a        40     0     3     1    10
 -1.5785959655746626E-01 a        41     0     3     1    11
 -3.7519798359194223E-01 a        42     0     3     1    12
 -9.2042152909457264E-01 a        43     0     3     1    13
  2.7668169720485863E-01 a        44     0     3     1    14
 -4.0910073926293039E-01 a        45     0     3     1    15
 -2.0562406199830585E+00 a        46     0     4     1     1
 -1.8105641402959656E+00 a        47     0     4     1     2
 -7.5676577528349520E-01 a        48     0     4     1     3
 -3.3472614337896428E-01 a        49     0     4     1     4
 -1.0635302011292720E+00 a        50     0     4     1     5
  8.5143226919491299E-01 a        51     0     4     1     6
  1.2221949411300290E+00 a        52     0     4     1     7
  1.6914839147455989E+00 a        53     0     4     1     8
 -1.4674108303782010E+00 a        54     0     4     1     9
  1.3627599590214814E+00 a        55     0     4     1    10
 -1.4253821299434026E+00 a        56     0     4     1    11
 -1.6333647904599641E-01 a        57     0     4     1    12
 -2.7923778261859705E-01 a        58     0     4     1    13
 -1.5192943789618457E-01 a        59     0     4     1    14
  5.1756968194000796E-01 a        60     0     4     1    15
  4.5891821275482630E-01 a        61     0     5     1     1
 -4.6014283491663965E-01 a        62     0     5     1     2
 -3.0674836848098588E-02 a        63     0     5     1     3
  7.2420985332539223E-01 a        64     0     5     1     4
 -3.8980963065874541E-01 a        65     0     5     1     5
  5.6474603960236391E-01 a        66     0     5     1     6
 -5.1744934849140478E-01 a        67     0     5     1     7
  3.1154792422616567E-01 a        68     0     5     1     8
 -5.0366653028950825E-01 a        69     0     5     1     9
 -1.1188596019757568E+00 a        70     0     5     1    10
 -4.0054678151944101E-01 a        71     0     5     1    11
  2.7741811167313535E-01 a        72     0     5     1    12
 -1.2443333379710542E-01 a        73     0     5     1    13
 -9.2465215127148603E-01 a        74     0     5     1    14
 -8.7724925937201714E-01 a        75     0     5     1    15
 -3.8769147843546556E+00 a        76     0     6     1     1
  1.2157932690267843E+00 a        77     0     6     1     2
 -1.2939776145533954E-01 a        78     0     6     1     3
 -1.8320575578932305E+00 a        79     0     6     1     4
 -1.2373220622575096E+00 a        80     0     6     1     5
  5.7698340183634143E+00 a        81     0     6     1     6
  3.5096670511186026E+00 a        82     0     6     1     7
  7.2714757748874026E-01 a        83     0     6     1     8
  1.9306032015053192E+00 a        84     0     6     1     9
 -1.9325481312467341E-01 a        85     0     6     1    10
 -1.7979240948748327E+00 a        86     0     6     1    11
 -1.1184231323841078E+00 a        87     0     6     1    12
  1.8850931296054283E+00 a        88     0     6     1    13
  2.1087615362768033E+00 a        89     0     6     1    14
 -4.8592790253406131E+00 a        90     0     6     1    15
 -5.4983452544319811E-01 a        91     0     7     1     1
  2.5582374580564460E-01 a        92     0     7     1     2
  4.6258683858301386E-01 a        93     0     7     1     3
 -5.9199583134617102E-02 a        94     0     7     1     4
 -1.1102588987942021E+00 a        95     0     7     1     5
  1.5289726281734037E-01 a        96     0     7     1     6
 -6.3688771382285836E-01 a        97     0     7     1     7
 -2.2069864519527208E-01 a        98     0     7     1     8
  2.4835846882195831E-01 a        99     0     7     1     9
  4.3250159652733661E-01 a       100     0     7     1    10
  1.9495362046944542E-01 a       101     0     7     1    11
  7.0093690034820000E-01 a       102     0     7     1    12
  9.1242463578118649E-01 a       103     0     7     1    13
  5.5896677560309260E-01 a       104     0     7     1    14
  1.1638033507097776E+00 a       105     0     7     1    15
  3.3127400969055425E+00 a       106     0     8     1     1
 -2.9377310815404273E-01 a       107     0     8     1     2
  1.4222690175014712E+00 a       108     0     8     1     3
 -7.3951839184766610E-02 a       109     0     8     1     4
 -8.9107899636033516E-01 a       110     0     8     1     5
 -4.8107958364281234E-01 a       111     0     8     1     6
  1.3590151252360199E+00 a       112     0     8     1     7
 -4.2988648524546083E+00 a       113     0     8     1     8
  4.9969174511766794E-02 a       114     0     8     1     9
 -2.2995360088680865E+00 a       115     0     8     1    10
 -2.4860189044211749E+00 a       116     0     8     1    11
 -8.0979177950831233E-02 a       117     0     8     1    12
 -2.3783646673254952E+00 a       118     0     8     1    13
  3.3235971844403394E+00 a       119     0     8     1    14
  3.9608404926159806E+00 a       120     0     8     1    15
 -3.7698183499220000E-01 a       121     0     9     1     1
 -3.2830495170146058E-02 a       122     0     9     1     2
 -7.8075127065754812E-01 a       123     0     9     1     3
  7.0137937254672711E-02 a       124     0     9     1     4
  8.6614611391442919E-01 a       125     0     9     1     5
 -7.5934392793938543E-01 a       126     0     9     1     6
  9.0938925654333502E-01 a       127     0     9     1     7
 -1.1507183690335359E+00 a       128     0     9     1     8
 -3.3525408623729858E-01 a       129     0     9     1     9
 -1.3406870870636270E-01 a       130     0     9     1    10
  3.8639494442170663E-01 a       131     0     9     1    11
  5.8786881603527308E-01 a       132     0     9     1    12
  2.2337911857934326E-01 a       133     0     9     1    13
  1.3577160036793678E-01 a       134     0     9     1    14
 -6.7156782904314460E-01 a       135     0     9     1    15
  3.7559374269805329E-01 a       136     0    10     1     1
 -1.1338258705813502E-01 a       137     0    10     1     2
 -1.2651605988623891E+00 a       138     0    10     1     3
  1.9351076290029479E+00 a       139     0    10     1     4
  4.6675294586358290E-01 a       140     0    10     1     5
  1.1907586769821497E+00 a       141     0    10     1     6
 -3.6928084717537129E+00 a       142     0    10     1     7
  3.4971697620248734E+00 a       143     0    10     1     8
 -9.5144497887321589E-01 a       144     0    10     1     9
  9.2298642105193829E-01 a       145     0    10     1    10
 -4.7377466386694528E-01 a       146     0    10     1    11
  2.0711552936187938E+00 a       147     0    10     1    12
  2.6841341594803825E+00 a       148     0    10     1    13
 -6.9049733730850731E+00 a       149     0    10     1    14
 -1.2745814994430822E+00 a       150     0    10     1    15
  1.8043543108966256E-01 a       151     0    11     1     1
  6.7645800749900520E-01 a       152     0    11     1     2
  8.6077586493732006E-01 a       153     0    11     1     3
 -4.5167537413211417E-01 a       154     0    11     1     4
 -6.8055048229098025E-01 a       155     0    11     1     5
 -5.1710855908266573E-01 a       156     0    11     1     6
  2.2286821228589979E-02 a       157     0    11     1     7
  6.6391935524250389E-01 a       158     0    11     1     8
  6.1532366355718915E-01 a       159     0    11     1     9
  4.6748832358850345E-01 a       160     0    11     1    10
 -4.9382878809680469E-01 a       161     0    11     1    11
 -6.9025341094766809E-02 a       162     0    11     1    12
  1.5579285346436303E-01 a       163     0    11     1    13
 -2.6001219607073756E-01 a       164     0    11     1    14
  2.2981142872153407E-01 a       165     0    11     1    15
 -2.4003836269920771E+00 a       166     0    12     1     1
  2.6251359276317623E+00 a       167     0    12     1     2
  1.0094102927770067E-01 a       168     0    12     1     3
 -1.4461999469165394E-02 a       169     0    12     1     4
  4.1806713156613479E-01 a       170     0    12     1     5
 -3.7928581464754410E+00 a       171     0    12     1     6
  2.5856319576023874E+00 a       172     0    12     1     7
 -1.9554348252956579E+00 a       173     0    12     1     8
  2.1528185762347922E+00 a       174     0    12     1     9
  1.1216615314251583E+00 a       175     0    12     1    10
  3.4648120985042324E-01 a       176     0    12     1    11
  1.3632581305965127E-01 a       177     0    12     1    12
 -1.2406646822174208E+00 a       178     0    12     1    13
  3.7971506795281131E+00 a       179     0    12     1    14
  2.4237087511878469E-01 a       180     0    12     1    15
  1.1690377529194040E-01 a       181     0    13     1     1
 -1.1029696633220157E-01 a       182     0    13     1     2
 -5.0449003049388086E-01 a       183     0    13     1     3
  2.3556806102482880E-01 a       184     0    13     1     4
  3.5932969534665088E-01 a       185     0    13     1     5
  3.7373237244877250E-01 a       186     0    13     1     6
  1.3072076206368513E-01 a       187     0    13     1     7
 -5.9038139837891433E-02 a       188     0    13     1     8
 -2.1900130574344276E-01 a       189     0    13     1     9
  1.6364218359754473E-01 a       190     0    13     1    10
  2.4695352704229509E-01 a       191     0    13     1    11
  2.7452456972703781E-01 a       192     0    13     1    12
 -3.3794671800715120E-01 a       193     0    13     1    13
 -1.3931764433020863E-02 a       194     0    13     1    14
 -1.5516829729309897E-01 a       195     0    13     1    15
  2.3247256224602793E+00 a       196     0    14     1     1
 -5.2053660507173838E-01 a       197     0    14     1     2
 -6.8419153197793425E-01 a       198     0    14     1     3
  8.4595369199782139E-02 a       199     0    14     1     4
 -4.7726883846334178E-01 a       200     0    14     1     5
  1.5286260354550461E+00 a       201     0    14     1     6
  9.4099179515166304E-02 a       202     0    14     1     7
  4.0831055163522506E-01 a       203     0    14     1     8
 -2.4085444741433101E-01 a       204     0    14     1     9
 -4.3128740401243149E-01 a       205     0    14     1    10
  1.1207949666307035E+00 a       206     0    14     1    11
  3.8895609913813850E-01 a       207     0    14     1    12
  3.1943438508759421E-02 a       208     0    14     1    13
 -7.1293083900867449E-01 a       209     0    14     1    14
 -2.0520527875380997E-02 a       210     0    14     1    15
 -2.1336006762470730E-02 a       211     0    15     1     1
  4.5105900238202087E-02 a       212     0    15     1     2
  6.8513292543335810E-02 a       213     0    15     1     3
 -4.3734090383302414E-02 a       214     0    15     1     4
 -7.8844984178565711E-02 a       215     0    15     1     5
 -4.3686918299686801E-02 a       216     0    15     1     6
 -3.2938327476179558E-03 a       217     0    15     1     7
 -2.2717691476911851E-03 a       218     0    15     1     8
  7.5045712973750706E-03 a       219     0    15     1     9
 -4.5071886856769001E-02 a       220     0    15     1    10
 -2.4468206632483558E-02 a       221     0    15     1    11
 -6.6046135892568178E-02 a       222     0    15     1    12
  5.0436928151120358E-02 a       223     0    15     1    13
  2.2116354033696377E-02 a       224     0    15     1    14
  5.8115306636345690E-02 a       225     0    15     1    15
 -3.4380097091037964E-01 a       226     0    16     1     1
  3.6240292291809700E-01 a       227     0    16     1     2
 -3.1910572140302224E-01 a       228     0    16     1     3
  9.7787684889725890E-02 a       229     0    16     1     4
 -9.4540557470941158E-02 a       230     0    16     1     5
 -1.6437737051293302E-01 a       231     0    16     1     6
 -6.1721263084519036E-02 a       232     0    16     1     7
 -4.7506894694490905E-03 a       233     0    16     1     8
  2.9164082963557781E-03 a       234     0    16     1     9
  2.3944620493629962E-01 a       235     0    16     1    10
 -3.1958756112700226E-01 a       236     0    16     1    11
 -7.7752634384255129E-02 a       237     0    16     1    12
 -1.2579568235274405E-01 a       238     0    16     1    13
  5.2493600686049885E-02 a       239     0    16     1    14
  1.9302007433624556E-02 a       240     0    16     1    15
  9.9919572909644455E-02 a       241     0    17     1     1
  3.7354643887062132E-02 a       242     0    17     1     2
 -4.2762451796808593E-01 a       243     0    17     1     3
  7.6991232379901753E-01 a       244     0    17     1     4
  2.0888233791576721E-01 a       245     0    17     1     5
  2.9648138245357974E-02 a       246     0    17     1     6
 -5.0677282681985369E-01 a       247     0    17     1     7
  2.3919716151180714E-01 a       248     0    17     1     8
  4.7022385170128833E-01 a       249     0    17     1     9
 -6.3283853707240301E-01 a       250     0    17     1    10
  4.5688133509831175E-01 a       251     0    17     1    11
  3.1893004065715852E-01 a       252     0    17     1    12
 -6.1875120451717149E-02 a       253     0    17     1    13
 -2.4931693958933354E-02 a       254     0    17     1    14
  3.9432099296250835E-02 a       255     0    17     1    15
  1.6373493140874118E-01 a       256     0    18     1     1
 -9.2603758368566713E-01 a       257     0    18     1     2
 -1.7058218503273448E-01 a       258     0    18     1     3
 -6.4698659418364696E-02 a       259     0    18     1     4
  2.3171496263744099E-02 a       260     0    18     1     5
 -1.2043023076885309E-01 a       261     0    18     1     6
 -3.1644248745176801E-01 a       262     0    18     1     7
 -1.1181189641135219E+00 a       263     0    18     1     8
  8.9385725694814389E-01 a       264     0    18     1     9
  1.2858121419792361E+00 a       265     0    18     1    10
  1.2018211675858884E-01 a       266     0    18     1    11
  9.0709039632187349E-01 a       267     0    18     1    12
 -5.3870191076229179E-01 a       268     0    18     1    13
 -9.0806873316800832E-02 a       269     0    18     1    14
 -1.7267578295214747E-01 a       270     0    18     1    15
 -4.6622868526388850E-01 a       271     0    19     1     1
 -2.7844872767941511E+00 a       272     0    19     1     2
 -3.7537184651406014E-01 a       273     0    19     1     3
  1.8912557800100638E+00 a       274     0    19     1     4
 -4.9856302457387297E-01 a       275     0    19     1     5
 -4.9827009135660755E-01 a       276     0    19     1     6
 -1.0458489479515236E+00 a       277     0    19     1     7
 -2.7449502034655495E+00 a       278     0    19     1     8
  1.3549366436592662E+00 a       279     0    19     1     9
  7.1771169953757230E-01 a       280     0    19     1    10
  1.3427734152205999E+00 a       281     0    19     1    11
 -7.6382480142568399E-01 a       282     0    19     1    12
 -4.0367718416888065E+00 a       283     0    19     1    13
  2.1462152489423109E-01 a       284     0    19     1    14
 -1.3006640190355061E+00 a       285     0    19     1    15
 -4.7102066991495752E-02 a       286     0    20     1     1
  1.1772199906954009E-01 a       287     0    20     1     2
  6.1275953896779263E-02 a       288     0    20     1     3
 -2.4201917755458216E-01 a       289     0    20     1     4
  1.2436743406863698E-01 a       290     0    20     1     5
 -5.6583444916233891E-02 a       291     0    20     1     6
  5.0023549561372160E-01 a       292     0    20     1     7
 -1.0555120440127576E-01 a       293     0    20     1     8
  7.1443167946522806E-02 a       294     0    20     1     9
  5.4247600257147388E-01 a       295     0    20     1    10
 -5.6924351460156475E-01 a       296     0    20     1    11
  4.4418374431510366E-02 a       297     0    20     1    12
  6.1344821788186343E-02 a       298     0    20     1    13
